Col_Number,Name,Description,Value
1,PARID,"PARID Key uniquely identifies each assessment record. This field is a combination of Boro, Block, Lot, Easement & Sub-ID (only record type 3 properties have a sub-id all other record types will have 10 blanks at the end of the field)                             ",FALSE
2,BORO,Borough. Borough Codes: 1 = Manhattan; 2 = Bronx; 3 = Brooklyn; 4 = Queens; 5 = Staten Island,FALSE
3,BLOCK,Valid Block Ranges:  Manhattan: 1 to 2255; Bronx: 2260 to 5958; Brooklyn: 1 to 8955; Queens: 1 to 16350; Staten Island: 1 to 8050,FALSE
4,LOT,Unique number within BORO/BLOCK,FALSE
5,EASEMENT, Valid Easement Codes: Blank = No Easement; A = Air Rights; B = Non-Air Rights; E = Land Easement; F thru M = Used when property has more than one easements; N = Non-Transit; P = Piers; R = Railroads; S = Street; U = U.S. Government ,FALSE
6,SUBIDENT_REUC,REUC only (Rectype  = 2 or 3),FALSE
7,RECTYPE,Record Type: 1 = ORE; 2 = REUC Ident; 3 = REUC Sub Ident,FALSE
8,YEAR,Four digit year,FALSE
9,IDENT,REUC only (Rectype = 2 or 3),FALSE
10,SUBIDENT,,FALSE
11,ROLL_SECTION,REUC only (Rectype = 2 or 3),FALSE
12,SECVOL,Section Volume Number (2 Digits each). Manhattan: 1-1 to 8-04; Bronx: 9-1 to 19-06; Brooklyn: 1-1 to 26-05; Queens: 1-1 to 63-03; Staten Island: 1-1 to 32-03,FALSE
13,PYMKTLAND,Market Assessed Land Value. Values as of the Final Roll for the Previous Tax Year.,TRUE
14,PYMKTTOT,Market Assessed Total Value. Values as of the Final Roll for the Previous Tax Year.,TRUE
15,PYACTLAND,Actual Assessed Land Value. Values as of the Final Roll for the Previous Tax Year.,TRUE
16,PYACTTOT,Actual Assessed Total Value. Values as of the Final Roll for the Previous Tax Year.,TRUE
17,PYACTEXTOT,Actual Exemption Total Value. Values as of the Final Roll for the Previous Tax Year.,TRUE
18,PYTRNLAND,Transitional Assessed Land Value. Values as of the Final Roll for the Previous Tax Year.,TRUE
19,PYTRNTOT,Transitional Assessed Total Value. Values as of the Final Roll for the Previous Tax Year.,TRUE
20,PYTRNEXTOT,Transitional Exemption Total Value. Values as of the Final Roll for the Previous Tax Year.,TRUE
21,PYTXBTOT,Taxable Assessed Total. Values as of the Final Roll for the Previous Tax Year .,TRUE
22,PYTXBEXTOT,Taxable Exemption Total. Values as of the Final Roll for the Previous Tax Year .,TRUE
23,PYTAXCLASS,Property Tax Class. Values as of the Final Roll for the Previous Tax Year .,TRUE
24,TENMKTLAND,Tentative Market Assessed Land Value . Values as of the publishing of the Tentative Assessment Roll in January.,TRUE
25,TENMKTTOT,Tentative Market Assessed Total Value. Values as of the publishing of the Tentative Assessment Roll in January.,TRUE
26,TENACTLAND,Tentative Actual Assessed Land Value. Values as of the publishing of the Tentative Assessment Roll in January.,TRUE
27,TENACTTOT,Tentative Actual Assessed Total Value. Values as of the publishing of the Tentative Assessment Roll in January.,TRUE
28,TENACTEXTOT,Tentative Actual Exemption Total Value. Values as of the publishing of the Tentative Assessment Roll in January.,TRUE
29,TENTRNLAND,Tentative Transitional Assessed Land Value. Values as of the publishing of the Tentative Assessment Roll in January.,TRUE
30,TENTRNTOT,Tentative Transitional Assessed Total Value. Values as of the publishing of the Tentative Assessment Roll in January.,TRUE
31,TENTRNEXTOT,Tentative Transitional Exemption Total Value. Values as of the publishing of the Tentative Assessment Roll in January.,TRUE
32,TENTXBTOT,Tentative Taxable Assessed Total. Values as of the publishing of the Tentative Assessment Roll in January.,TRUE
33,TENTXBEXTOT,Tentative Taxable Exemption Total. Values as of the publishing of the Tentative Assessment Roll in January.,TRUE
34,TENTAXCLASS,Property Tax Class. Values as of the publishing of the Tentative Assessment Roll in January.,TRUE
35,CBNMKTLAND,Change By Notice Market Assessed Land Value. Values as of the  Change By Notice period in May.,TRUE
36,CBNMKTTOT,Change By Notice Market Assessed Total Value. Values as of the  Change By Notice period in May.,TRUE
37,CBNACTLAND,Change By Notice Actual Assessed Land Value. Values as of the  Change By Notice period in May.,TRUE
38,CBNACTTOT,Change By Notice Actual Assessed Total Value. Values as of the  Change By Notice period in May.,TRUE
39,CBNACTEXTOT,Change By Notice Actual Exemption Total Value. Values as of the  Change By Notice period in May.,TRUE
40,CBNTRNTLAND,Change By Notice Transitional Assessed Land Value. Values as of the  Change By Notice period in May.,TRUE
41,CBNTRNTOT,Change By Notice Transitional Assessed Total Value. Values as of the  Change By Notice period in May.,TRUE
